id;nom;prix;lien_image;marque;modele;progressif
1;conglomeration Table driver;90798;Grocery;connecting;SCSI Iowa Avon;true
2;online auxiliary;60931;Unions Wooden Enterprise-wide;exuding calculate;Soap Sausages;false
3;Jewelery integrate;4391;Cheese THX;Land;transitional;true
4;sensor;59106;Fresh B2C Beauty;clear-thinking;bypass;false
5;Valley;94807;Maine;HDD Estates;orange Sports;false
6;Outdoors turquoise back-end;42856;Liaison;architecture;Steel Bedfordshire;false
7;Polarised;35547;quantify Handcrafted Borders;invoice;ability Keyboard Loan;false
8;Walk Cambridgeshire;76736;enterprise Real;Designer Keyboard;context-sensitive up Soft;false
9;Security Avon scalable;79514;Plastic;Nevada Fish;Gambia Bedfordshire;true
10;Account calculating;36632;Configuration Chicken;wireless adapter matrix;innovative Unbranded;true
